date,open,high,low,close,volume
2023-07-26,3.2716,3.3035,3.2476,3.2795,22455195.0
2023-07-27,3.2955,3.3434,3.2795,3.3354,10344986.0
2023-07-28,3.3035,3.3833,3.3035,3.3514,13010968.0
2023-07-31,3.3833,3.4072,3.3514,3.3673,23910945.0
2023-08-01,3.3833,3.3912,3.3035,3.3194,16530569.0
2023-08-02,3.3194,3.3194,3.2396,3.2716,11836163.0
2023-08-03,3.2476,3.2875,3.2237,3.2476,14300321.0
2023-08-04,3.2955,3.2955,3.2317,3.2396,9651151.0
2023-08-07,3.2396,3.2955,3.2237,3.2795,11394485.0
2023-08-08,3.2317,3.2716,3.2077,3.2237,11611254.0
2023-08-09,3.2237,3.2476,3.2157,3.2317,11962660.0
2023-08-10,3.2237,3.2795,3.2237,3.2716,16918825.0
2023-08-11,3.2556,3.2875,3.2157,3.2157,9227436.0
2023-08-14,3.1997,3.2237,3.1678,3.2157,13827844.0
2023-08-15,3.1838,3.2157,3.1758,3.1997,10574513.0
2023-08-16,3.1918,3.1997,3.1439,3.1439,15005998.0
2023-08-17,3.1359,3.1838,3.112,3.1678,16877456.0
2023-08-18,3.1678,3.1838,3.1199,3.1279,12142214.0
2023-08-21,3.1199,3.1439,3.096,3.1279,13971904.0
2023-08-22,3.112,3.1838,3.112,3.1519,12552754.0
2023-08-23,3.1359,3.1598,3.112,3.1279,16680362.0
2023-08-24,3.1598,3.2237,3.1519,3.1678,14306080.0
2023-08-25,3.1758,3.1997,3.1598,3.1678,12828019.0
2023-08-28,3.2648,3.2729,3.2163,3.2567,15542869.0
2023-08-29,3.3052,3.3779,3.289,3.3537,22481472.0
2023-08-30,3.3456,3.3941,3.3294,3.3537,22079668.0
2023-08-31,3.3537,3.3537,3.2486,3.2648,41300890.0
2023-09-04,3.3133,3.3779,3.2971,3.3375,41337635.0
2023-09-05,3.3052,3.3537,3.2648,3.2729,12602575.0
2023-09-06,3.2567,3.3052,3.2325,3.281,9893915.0
2023-09-07,3.281,3.3133,3.2729,3.289,11475975.0
2023-09-11,3.2729,3.3375,3.2486,3.2729,37061185.0
2023-09-12,3.2729,3.3375,3.2486,3.281,14932001.0
2023-09-13,3.3052,3.3214,3.2486,3.2648,14287279.0
2023-09-14,3.2729,3.3052,3.2567,3.289,13280467.0
2023-09-15,3.3133,3.3618,3.2729,3.3214,29524403.0
2023-09-18,3.3375,3.3375,3.2648,3.289,12712771.0
2023-09-19,3.2971,3.3456,3.281,3.3294,12035316.0
2023-09-20,3.3375,3.3537,3.2971,3.3133,8197154.0
2023-09-21,3.3133,3.3294,3.2486,3.2971,13909518.0
2023-09-22,3.289,3.3537,3.2648,3.3537,9007608.0
2023-09-25,3.3618,3.3779,3.3133,3.3214,10615204.0
2023-09-26,3.3214,3.3618,3.2648,3.281,19220254.0
2023-09-27,3.289,3.2971,3.2486,3.289,20227707.0
2023-09-28,3.2729,3.3052,3.2244,3.2567,23606671.0
2023-09-29,3.289,3.3537,3.2729,3.3214,18936865.0
2023-10-03,3.2648,3.3052,3.1759,3.2648,29859286.0
2023-10-04,3.2406,3.2648,3.2163,3.2325,31313079.0
2023-10-05,3.2648,3.3537,3.2648,3.3375,9655766.0
2023-10-06,3.3537,3.4264,3.3537,3.386,7989560.0
2023-10-09,3.386,3.4345,3.3375,3.3537,6167469.0
2023-10-10,3.4022,3.4345,3.3618,3.3699,9763538.0
2023-10-11,3.3941,3.4911,3.3779,3.483,27113553.0
2023-10-12,3.4911,3.5476,3.4911,3.5315,15938659.0
2023-10-13,3.5315,3.5476,3.4426,3.5072,20620034.0
2023-10-16,3.5072,3.5557,3.483,3.4992,20134233.0
2023-10-17,3.5396,3.5396,3.4587,3.4749,12095191.0
2023-10-18,3.4749,3.5476,3.4749,3.5072,21712402.0
2023-10-19,3.5234,3.5557,3.4668,3.5234,29863904.0
2023-10-20,3.4911,3.5476,3.4749,3.5153,14105509.0
2023-10-24,3.5396,3.6689,3.5072,3.588,29401905.0
2023-10-25,3.5072,3.5719,3.4749,3.5072,25067769.0
2023-10-26,3.5396,3.6769,3.5072,3.6365,30223363.0
2023-10-27,3.6365,3.7093,3.6285,3.7012,27347169.0
2023-10-30,3.6931,3.7739,3.6608,3.7658,16451637.0
2023-10-31,3.7578,3.7982,3.7254,3.7739,22674665.0
2023-11-01,3.7739,3.8224,3.7335,3.7982,16841687.0
2023-11-02,3.8386,3.8547,3.782,3.8224,14437967.0
2023-11-03,3.8386,3.8466,3.7658,3.7982,23109239.0
2023-11-06,3.782,3.8386,3.782,3.8386,72522135.0
2023-11-07,3.8386,3.8386,3.7254,3.7497,58980098.0
2023-11-08,3.7578,3.8143,3.6931,3.7658,22585641.0
2023-11-09,3.7658,3.7901,3.7173,3.7658,21620712.0
2023-11-10,3.7416,3.7658,3.7012,3.7335,17562350.0
2023-11-13,3.6608,3.7739,3.6608,3.7578,17182824.0
2023-11-14,3.782,3.8305,3.7739,3.7982,19175618.0
2023-11-15,3.8709,3.8709,3.7982,3.8305,18490341.0
2023-11-16,3.8305,3.8386,3.7658,3.8062,16206841.0
2023-11-17,3.7901,3.8143,3.782,3.7901,11777757.0
2023-11-20,3.8143,3.8709,3.7901,3.8628,11237976.0
2023-11-21,3.8709,3.9355,3.8466,3.9113,14876003.0
2023-11-22,3.8871,3.8951,3.8466,3.879,20571573.0
2023-11-23,3.879,3.9194,3.8143,3.9113,27938650.0
2023-11-24,3.879,3.9194,3.8547,3.879,9720270.0
2023-11-27,3.8871,3.9113,3.8547,3.8951,10181041.0
2023-11-28,3.8951,3.9113,3.8547,3.879,23099402.0
2023-11-29,3.8871,3.9759,3.8871,3.9679,40088851.0
2023-11-30,3.9679,4.081,3.9436,4.0568,64352157.0
2023-12-01,4.0406,4.0568,3.9598,4.0083,36240990.0
