SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT,STD_REPORT_DATE
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004001009,递延税项资产,1096304000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004001010,预付款项,6194356000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004001013,联营公司权益,7812833000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004001016,合营公司权益,2448479000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004001022,指定以公允价值记账之金融资产,4760344000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004001030,中长期存款,42909000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004001997,非流动资产其他项目,17877704000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004001999,非流动资产合计,260164628000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004002001,存货,2380212000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004002003,应收帐款,25235221000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004002005,预付款按金及其他应收款,7967510000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004002006,应收关联方款项,4111062000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004002007,预缴及应收税项,69473000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004002009,受限制存款及现金,80513000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004002010,现金及等价物,5738815000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004002013,指定以公允价值记账之金融资产(流动),59345000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004002999,流动资产合计,45642151000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004009999,总资产,305806779000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004011001,应付帐款,20317448000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004011003,应付税项,496346000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004011005,应付关联方款项(流动),10965201000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004011006,融资租赁负债(流动),734022000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004011008,其他应付款及应计费用,5523832000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004011010,短期贷款,37133777000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004011999,流动负债合计,75170626000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004013999,净流动资产,-29528475000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004015999,总资产减流动负债,230636153000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004020001,长期贷款,127448471000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004020003,递延税项负债,2849526000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004020005,融资租赁负债(非流动),3398570000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004020006,递延收入(非流动),58107000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004020018,应付票据(非流动),1860767000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004020999,非流动负债合计,135615441000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004025999,总负债,210786067000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004027999,少数股东权益,41380971000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004028999,净资产,95020712000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004030001,股本,24508986000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004030002,储备,13956246000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004030015,其他权益工具,15174509000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004030999,股东权益,53639741000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004036999,总权益,95020712000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004037999,总权益及非流动负债,230636153000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004039999,总权益及总负债,305806779000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-12-31 00:00:00,001,12-31,004060999,非运算项目,38465232000.0,2023-12-31 00:00:00
02380.HK,02380,中国电力,10057575,2023-06-30 00:00:00,002,12-31,004001002,物业厂房及设备,147082747000.0,2023-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2023-06-30 00:00:00,002,12-31,004001004,无形资产,8047846000.0,2023-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2023-06-30 00:00:00,002,12-31,004001005,商誉,832388000.0,2023-06-30 00:00:00
02380.HK,02380,中国电力,10057575,2023-06-30 00:00:00,002,12-31,004001009,递延税项资产,405261000.0,2023-06-30 00:00:00
